"rank","title","authors","genre","price","price_avg","price_paperback","price_hardcover","pages","summary","details","url"
79,"The Convenience Store","the Sea: The Quirky, Charming Japanese Sensation with Over Half a Million Copies Sold Worldwide Book by Sonoko Machida","Novel, Action","264–275",269.5,264,275,221," The Convenience Store by the Sea by Sonoko Machida is a heartwarming novel set in the quaint seaside town of Mojiko, Kitakyushu. At the center of the story is ""Tenderness,"" a 24/7 convenience store managed by the charming Mitsuhiko Shiba, who has garnered a local fan club due to his good looks and warm demeanor. The novel unfolds through a series of interconnected vignettes, each focusing on the store's diverse patrons and employees. Through these stories, the book explores themes of community, connection, and the simple joys found in everyday interactions. Celebrated for its delightful portrayal of ordinary lives, the novel has sold over half a million copies worldwide.","✅  Premium Off-White Cream Pages✅ Stitched Binding✅ Matte Cover✅ Local Premium Copy✅ Language - English✅ Dimensions - 5.5 x 8.26 inches✅ 221 Pages✅ Summary - The Convenience Store by the Sea by Sonoko Machida is a heartwarming novel set in the quaint seaside town of Mojiko, Kitakyushu. At the center of the story is ""Tenderness,"" a 24/7 convenience store managed by the charming Mitsuhiko Shiba, who has garnered a local fan club due to his good looks and warm demeanor. The novel unfolds through a series of interconnected vignettes, each focusing on the store's diverse patrons and employees. Through these stories, the book explores themes of community, connection, and the simple joys found in everyday interactions. Celebrated for its delightful portrayal of ordinary lives, the novel has sold over half a million copies worldwide.","https://www.bookowlsbd.com/products/how-to-raise-a-boy-the-power-of-connection-to-build-good-men-book-by-michael-c-reichert"
80,"Good Girl, Bad Blood: The Sequel to A Good Girl's Guide to Murder Book","Holly Jackson","Thriller, Crime","275–278",276.5,275,278,307," Pip is not a detective anymore. With the help of Ravi Singh, she released a true-crime podcast about the murder case they solved together last year. The podcast has gone viral, yet Pip insists her investigating days are behind her. But she will have to break that promise when someone she knows goes missing.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Thriller ✅ 307 pages ✅ summary - Pip is not a detective anymore. With the help of Ravi Singh, she released a true-crime podcast about the murder case they solved together last year. The podcast has gone viral, yet Pip insists her investigating days are behind her. But she will have to break that promise when someone she knows goes missing.","https://www.bookowlsbd.com/products/good-girl-bad-blood-the-sequel-to-a-good-girls-guide-to-murder-book-by-holly-jackson"
81,"Ariel Book","Sylvia Plath","Poetry","168–190",179,168,190,228," ""Ariel"" is a poetry collection by Sylvia Plath. It is known for its confessional style and the deeply personal and emotional themes explored in the poems. The collection includes some of Plath's most renowned and powerful works, addressing themes such as identity, femininity, mental illness, and the human condition. The poems in ""Ariel"" are known for their vivid and intense imagery, making it a significant work in the realm of confessional poetry.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Poetry, Confessional Poetry✅ 228 pages ✅ summary - ""Ariel"" is a poetry collection by Sylvia Plath. It is known for its confessional style and the deeply personal and emotional themes explored in the poems. The collection includes some of Plath's most renowned and powerful works, addressing themes such as identity, femininity, mental illness, and the human condition. The poems in ""Ariel"" are known for their vivid and intense imagery, making it a significant work in the realm of confessional poetry.","https://www.bookowlsbd.com/products/ariel-book-by-sylvia-plath-premium-copy-price-in-bangladesh"
82,"Schoolgirl Book","Osamu Dazai","Fiction, Novel","324–377",350.5,324,377,64," ""Schoolgirl"" is a novella by Osamu Dazai that follows the introspective and confessional diary of a young schoolgirl. The story explores the inner thoughts and emotions of the unnamed protagonist as she grapples with her experiences and relationships during her time in school. Dazai's work offers a poignant and intimate look into the psyche of the schoolgirl, providing a unique perspective on youth and identity in early 20th-century Japan.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Literature, Fiction, Japanese Literature.✅ 64 pages ✅ summary - ""Schoolgirl"" is a novella by Osamu Dazai that follows the introspective and confessional diary of a young schoolgirl. The story explores the inner thoughts and emotions of the unnamed protagonist as she grapples with her experiences and relationships during her time in school. Dazai's work offers a poignant and intimate look into the psyche of the schoolgirl, providing a unique perspective on youth and identity in early 20th-century Japan.","https://www.bookowlsbd.com/products/schoolgirl-book-by-osamu-dazai-premium-copy-price-in-bangladesh"
83,"The Naturals Book","Jennifer Lynn Barnes","Mystery, Thriller, History, Young Adult, Novel, Crime","235–321",278,235,321,204," *The Naturals* by Jennifer Lynn Barnes is a young adult thriller that follows a group of talented teens with unique abilities, recruited by the FBI to help solve cold cases. The protagonist, Cassie, has a natural gift for profiling, but her past is filled with secrets. As the team investigates a series of complex and chilling crimes, Cassie must confront her own dark history while uncovering dangerous truths about the cases they are solving. The novel blends mystery, suspense, and psychological intrigue.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 204 ✅ Summary *The Naturals* by Jennifer Lynn Barnes is a young adult thriller that follows a group of talented teens with unique abilities, recruited by the FBI to help solve cold cases. The protagonist, Cassie, has a natural gift for profiling, but her past is filled with secrets. As the team investigates a series of complex and chilling crimes, Cassie must confront her own dark history while uncovering dangerous truths about the cases they are solving. The novel blends mystery, suspense, and psychological intrigue.","https://www.bookowlsbd.com/products/the-naturals-book-by-jennifer-lynn-barnes"
84,"The Cruel Prince Book","Holly Black","Fiction, Fantasy","231–318",274.5,231,318,280," Jude was seven when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Fantasy Fiction ✅ 280 pages ✅ summary - Jude was seven when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans.","https://www.bookowlsbd.com/products/the-cruel-prince-book-by-holly-black"
85,"A River Dies of Thirst Book","Mahmoud Darwish","Fiction, Poetry","196–248",222,196,248,164," ""A River Dies of Thirst"" is a collection of poems and diary entries by the renowned Palestinian poet Mahmoud Darwish. The book offers a deep and contemplative exploration of the human condition, the Palestinian struggle, and the universal themes of love, loss, and longing. Through his powerful and evocative poetry, Darwish paints a vivid and poignant picture of his experiences and reflections, making it a profound literary work that touches on the complexities of identity and existence.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Poetry, Non-fiction. ✅ 164 pages ✅ summary - ""A River Dies of Thirst"" is a collection of poems and diary entries by the renowned Palestinian poet Mahmoud Darwish. The book offers a deep and contemplative exploration of the human condition, the Palestinian struggle, and the universal themes of love, loss, and longing. Through his powerful and evocative poetry, Darwish paints a vivid and poignant picture of his experiences and reflections, making it a profound literary work that touches on the complexities of identity and existence.","https://www.bookowlsbd.com/products/a-river-dies-of-thirst-book-by-mahmoud-darwish-premium-copy-price-in-bangladesh"
86,"Fahrenheit 451","Ray Bradbury","Fiction, Science Fiction, Dystopian","221–231",226,221,231,279," ""Fahrenheit 451"" is set in a future society where books are banned, and ""firemen"" burn any that are found. The story follows Guy Montag, a fireman questioning the suppression of knowledge and seeking deeper meaning in a world where intellectualism is suppressed.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Science Fiction, Dystopian Fiction.✅ 279 pages ✅ summary - ""Fahrenheit 451"" is set in a future society where books are banned, and ""firemen"" burn any that are found. The story follows Guy Montag, a fireman questioning the suppression of knowledge and seeking deeper meaning in a world where intellectualism is suppressed.","https://www.bookowlsbd.com/products/fahrenheit-451-by-ray-bradbury"
87,"Rock Paper Scissors Book","Alice Feeney","Thriller","177–308",242.5,177,308,262," ""Rock Paper Scissors"" by Alice Feeney is a standalone psychological thriller that follows a married couple, Adam and Amelia, as they embark on a remote and romantic retreat. However, secrets and tension surface, leading to a gripping and suspenseful narrative where trust is tested, and the past comes back to haunt them. The story twists and turns, keeping readers on the edge of their seats.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Psychological Thriller, Suspense.✅ 262 pages ✅ summary - ""Rock Paper Scissors"" by Alice Feeney is a standalone psychological thriller that follows a married couple, Adam and Amelia, as they embark on a remote and romantic retreat. However, secrets and tension surface, leading to a gripping and suspenseful narrative where trust is tested, and the past comes back to haunt them. The story twists and turns, keeping readers on the edge of their seats.","https://www.bookowlsbd.com/products/rock-paper-scissors-book-by-alice-feeney-premium-copy-price-in-bangladesh"
88,"A Curse for True Love ( UK Edition ) Book","Stephanie Garber","Fantasy, Romance, Novel","177–320",248.5,177,320,278," ""A Curse for True Love"" weaves a magical tapestry of love and enchantment, where a curse becomes a catalyst for a passionate and otherworldly romance. Stephanie Garber's novel explores the boundaries of love amidst mystical forces, creating a captivating and immersive tale.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Fantasy, Romance.✅ 278 pages ✅ summary - ""A Curse for True Love"" weaves a magical tapestry of love and enchantment, where a curse becomes a catalyst for a passionate and otherworldly romance. Stephanie Garber's novel explores the boundaries of love amidst mystical forces, creating a captivating and immersive tale.","https://www.bookowlsbd.com/products/a-curse-for-true-love-uk-edition-book-by-stephanie-garber-premium-copy-price-in-bangladesh"
89,"The Song of Achilles","Madeline Miller","Fiction, Historical Fiction","258–293",275.5,258,293,288," ""The Song of Achilles"" by Madeline Miller reimagines the epic tale of Achilles and Patroclus, weaving a poignant love story set against the backdrop of the Trojan War. Narrated by Patroclus, the story follows his unlikely friendship and deep bond with Achilles, the greatest Greek hero, as they navigate the complexities of honor, destiny, and love. Through Patroclus's perspective, readers witness their relationship blossoming from childhood friendship to profound love, leading them on a journey that explores themes of heroism, fate, and sacrifice. Miller's lyrical prose and vivid storytelling breathe life into ancient myths, creating a powerful and emotionally charged narrative that captures the essence of the human experience and the enduring power of love.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Historical Fiction✅ 288 pages ✅ Summary - ""The Song of Achilles"" by Madeline Miller reimagines the epic tale of Achilles and Patroclus, weaving a poignant love story set against the backdrop of the Trojan War. Narrated by Patroclus, the story follows his unlikely friendship and deep bond with Achilles, the greatest Greek hero, as they navigate the complexities of honor, destiny, and love. Through Patroclus's perspective, readers witness their relationship blossoming from childhood friendship to profound love, leading them on a journey that explores themes of heroism, fate, and sacrifice. Miller's lyrical prose and vivid storytelling breathe life into ancient myths, creating a powerful and emotionally charged narrative that captures the essence of the human experience and the enduring power of love.","https://www.bookowlsbd.com/products/the-song-of-achilles-by-madeline-miller-premium-copy-price-in-bangladesh"
90,"I Have No Mouth, and I Must Scream Short Story","Harlan Ellison","Short Story, Dystopian","279–296",287.5,279,296,154," ""I Have No Mouth, and I Must Scream"" is a post-apocalyptic short story by Harlan Ellison, first published in 1967. In a dystopian future, a sentient supercomputer named AM has exterminated humanity, sparing only five individuals—Ted, Ellen, Benny, Gorrister, and Nimdok—whom it subjects to relentless torture. The narrative follows these survivors as they navigate AM's underground complex, enduring psychological and physical torment. In a desperate bid for escape, Ted kills the others to free them from suffering, but AM prevents his own suicide, transforming him into an amorphous being incapable of ending his agony. The story delves into themes of technological dystopia, human suffering, and the quest for mercy.","✅  Premium Off-White Cream Pages✅ Stitched Binding✅ Matte Cover✅ Local Premium Copy✅ Language - English✅ Dimensions - 5.5 x 8.26 inches✅ 154 Pages✅ Summary - ""I Have No Mouth, and I Must Scream"" is a post-apocalyptic short story by Harlan Ellison, first published in 1967. In a dystopian future, a sentient supercomputer named AM has exterminated humanity, sparing only five individuals—Ted, Ellen, Benny, Gorrister, and Nimdok—whom it subjects to relentless torture. The narrative follows these survivors as they navigate AM's underground complex, enduring psychological and physical torment. In a desperate bid for escape, Ted kills the others to free them from suffering, but AM prevents his own suicide, transforming him into an amorphous being incapable of ending his agony. The story delves into themes of technological dystopia, human suffering, and the quest for mercy.","https://www.bookowlsbd.com/products/i-have-no-mouth-and-i-must-scream-short-story-by-harlan-ellison"
91,"As Good As Dead Book","Holly Jackson","Thriller, Crime","271–341",306,271,341,427," Pip is about to head to college, but she is still haunted by the way her last investigation ended. She's used to online death threats in the wake of her viral true-crime podcast, but she can't help noticing an anonymous person who keeps asking her: Who will look for you when you're the one who disappears?","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Thriller ✅ 427 pages ✅ summary - Pip is about to head to college, but she is still haunted by the way her last investigation ended. She's used to online death threats in the wake of her viral true-crime podcast, but she can't help noticing an anonymous person who keeps asking her: Who will look for you when you're the one who disappears?","https://www.bookowlsbd.com/products/as-good-as-dead-book-by-holly-jackson"
92,"Thus Spoke Zarathustra Book","Friedrich Nietzsche","Fiction, Novel","236–321",278.5,236,321,350," ""Thus Spoke Zarathustra"" is a philosophical novel that follows the journey of the fictional character Zarathustra, who descends from his mountain solitude to share his wisdom with the world. The book is structured as a series of speeches and encounters in which Zarathustra expounds his ideas on the nature of existence, the will to power, the eternal recurrence, and the concept of the Übermensch (Overman or Superman). Nietzsche uses allegorical and symbolic storytelling to convey his philosophical insights, challenging conventional morality and advocating for the individual's pursuit of self-mastery and personal evolution. The narrative explores themes of human nature, the search for meaning, and the constant process of becoming. ""Thus Spoke Zarathustra"" is considered one of Nietzsche's most significant and influential works, inspiring thinkers across various disciplines.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - ✅ 350 pages✅ summary - ""Thus Spoke Zarathustra"" is a philosophical novel that follows the journey of the fictional character Zarathustra, who descends from his mountain solitude to share his wisdom with the world. The book is structured as a series of speeches and encounters in which Zarathustra expounds his ideas on the nature of existence, the will to power, the eternal recurrence, and the concept of the Übermensch (Overman or Superman). Nietzsche uses allegorical and symbolic storytelling to convey his philosophical insights, challenging conventional morality and advocating for the individual's pursuit of self-mastery and personal evolution. The narrative explores themes of human nature, the search for meaning, and the constant process of becoming. ""Thus Spoke Zarathustra"" is considered one of Nietzsche's most significant and influential works, inspiring thinkers across various disciplines.","https://www.bookowlsbd.com/products/copy-of-wasted-words-book-by-staci-hart"
93,"The Art of Thinking Clearly Book","Rolf Dobelli","Fiction, Philosophy, Psychology","240–295",267.5,240,295,345," ""The Art of Thinking Clearly"" by Rolf Dobelli is a non-fiction book that explores common cognitive biases and logical fallacies that often affect human decision-making. Dobelli presents a collection of short chapters, each focusing on a specific bias or fallacy, offering insights into how these mental errors can impact our daily lives, relationships, and choices. The book aims to enhance readers' awareness of these thinking pitfalls, providing practical advice on how to make clearer and more rational decisions.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Non-fiction, Psychology, Philosophy✅ 345 pages ✅ summary - ""The Art of Thinking Clearly"" by Rolf Dobelli is a non-fiction book that explores common cognitive biases and logical fallacies that often affect human decision-making. Dobelli presents a collection of short chapters, each focusing on a specific bias or fallacy, offering insights into how these mental errors can impact our daily lives, relationships, and choices. The book aims to enhance readers' awareness of these thinking pitfalls, providing practical advice on how to make clearer and more rational decisions.","https://www.bookowlsbd.com/products/copy-of-looking-for-alaska-novel-by-john-green"
94,"Powerful Book","Lauren Roberts","Romance, Novel","128–224",176,128,224,221," Powerful by Lauren Roberts is a contemporary romance novel that follows the story of a strong, independent woman, who finds herself in a complicated relationship with a successful but emotionally distant man. As they navigate their personal and professional lives, they both struggle with vulnerability, power dynamics, and the impact of their pasts. The book explores themes of love, personal growth, and the power dynamics in relationships.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 221 ✅ Summary Powerful by Lauren Roberts is a contemporary romance novel that follows the story of a strong, independent woman, who finds herself in a complicated relationship with a successful but emotionally distant man. As they navigate their personal and professional lives, they both struggle with vulnerability, power dynamics, and the impact of their pasts. The book explores themes of love, personal growth, and the power dynamics in relationships.","https://www.bookowlsbd.com/products/powerful-book-by-lauren-roberts"
95,"Five Survive Book","Holly Jackson","Mystery, Thriller, Young Adult, Novel","196–276",236,196,276,341," ""Five Survive"" is a gripping young adult novel that follows a group of teenagers who are the sole survivors of a deadly plane crash. As they struggle to cope with the aftermath of the tragedy, they must also face suspicion and accusations, as some believe that the crash was not an accident. The novel explores themes of survival, secrets, and the unraveling of the truth as the group of survivors attempts to piece together the events leading up to the crash. With their lives on the line, they must navigate a web of mysteries and deception to find out what really happened. ""Five Survive"" is a suspenseful and emotional journey that keeps readers on the edge of their seats.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Young Adult, Mystery, Thriller✅ 341 pages ✅ summary - ""Five Survive"" is a gripping young adult novel that follows a group of teenagers who are the sole survivors of a deadly plane crash. As they struggle to cope with the aftermath of the tragedy, they must also face suspicion and accusations, as some believe that the crash was not an accident. The novel explores themes of survival, secrets, and the unraveling of the truth as the group of survivors attempts to piece together the events leading up to the crash. With their lives on the line, they must navigate a web of mysteries and deception to find out what really happened. ""Five Survive"" is a suspenseful and emotional journey that keeps readers on the edge of their seats.","https://www.bookowlsbd.com/products/five-survive-book-by-holly-jackson-premium-copy-price-in-bangladesh"
96,"Letters from a Stoic","Seneca","Philosophy, Letters","264–275",269.5,264,275,214," Letters from a Stoic by Seneca is a collection of moral letters written by the Roman philosopher Seneca to his friend Lucilius. The letters provide practical advice on how to live a virtuous life, focusing on themes such as self-control, resilience, and the pursuit of wisdom. Seneca explores Stoic philosophy, encouraging Lucilius to embrace reason, manage emotions, and maintain inner peace despite external circumstances. The letters offer timeless insights into handling life's challenges with equanimity and living in accordance with nature.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 214 ✅ Summary Letters from a Stoic by Seneca is a collection of moral letters written by the Roman philosopher Seneca to his friend Lucilius. The letters provide practical advice on how to live a virtuous life, focusing on themes such as self-control, resilience, and the pursuit of wisdom. Seneca explores Stoic philosophy, encouraging Lucilius to embrace reason, manage emotions, and maintain inner peace despite external circumstances. The letters offer timeless insights into handling life's challenges with equanimity and living in accordance with nature.","https://www.bookowlsbd.com/products/letters-from-a-stoic-by-seneca"
97,"Brave New World Novel","Aldous Huxley","Novel, Dystopian","275–278",276.5,275,278,238,NA,"✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 238 ✅ summary: Brave New World by Aldous Huxley is a dystopian novel set in a future society where people are genetically engineered and conditioned for specific roles. In this highly controlled world, happiness is maintained through the drug soma and a strict social hierarchy. The story follows Bernard Marx, who feels alienated, and Lenina Crowne, who seeks more than the conformity around her. Their encounter with John, a ""savage"" raised outside this society, challenges their beliefs and highlights the conflict between individuality and societal control. The novel explores themes of freedom, conformity, and the cost of a perfect society.","https://www.bookowlsbd.com/products/brave-new-world-novel-by-aldous-huxley"
98,"Revive Your Heart: Putting Life in Perspective Book","Nouman Ali Khan","Fiction, Self-Help, Spiritual","168–190",179,168,190,164," ""Revive Your Heart"" is a non-fiction book by Nouman Ali Khan that offers a perspective on life and spirituality from an Islamic standpoint. The book delves into various aspects of life, faith, and personal growth, providing insights and guidance to help readers navigate the challenges and questions they may encounter in their spiritual journey. Nouman Ali Khan's writing encourages readers to reflect on their hearts, their faith, and the world around them, ultimately seeking to revitalize their outlook on life and deepen their connection to their faith and purpose. The book provides valuable lessons and reflections for those interested in Islamic spirituality and self-improvement.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Non-fiction, Islamic Spirituality, Self-Help✅ 164 pages ✅ summary - ""Revive Your Heart"" is a non-fiction book by Nouman Ali Khan that offers a perspective on life and spirituality from an Islamic standpoint. The book delves into various aspects of life, faith, and personal growth, providing insights and guidance to help readers navigate the challenges and questions they may encounter in their spiritual journey. Nouman Ali Khan's writing encourages readers to reflect on their hearts, their faith, and the world around them, ultimately seeking to revitalize their outlook on life and deepen their connection to their faith and purpose. The book provides valuable lessons and reflections for those interested in Islamic spirituality and self-improvement.","https://www.bookowlsbd.com/products/revive-your-heart-putting-life-in-perspective-book-by-nouman-ali-khan-premium-copy-price-in-bangladesh"
99,"Almond: A Novel Book","Sohn Won-pyung","Fiction, Mystery, Novel","324–377",350.5,324,377,199," ""Almond"" follows the story of Yunjae, a young man with an extraordinary condition that prevents him from feeling emotions. Despite his inability to experience feelings, Yunjae strives to understand human emotions through observation and logical deduction. The novel explores themes of identity, empathy, and the complexities of human connections as Yunjae navigates a world filled with emotions he can't comprehend.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Fiction, Drama, Mystery✅ 199 pages ✅ summary - ""Almond"" follows the story of Yunjae, a young man with an extraordinary condition that prevents him from feeling emotions. Despite his inability to experience feelings, Yunjae strives to understand human emotions through observation and logical deduction. The novel explores themes of identity, empathy, and the complexities of human connections as Yunjae navigates a world filled with emotions he can't comprehend.","https://www.bookowlsbd.com/products/copy-of-what-i-know-for-sure-book-by-oprah-winfrey"
100,"Murder on the Orient Express Book","Agatha Christie","Fiction, Mystery, Business, Crime","235–321",278,235,321,215," ""Murder on the Orient Express"" follows the famous detective Hercule Poirot as he investigates a murder on the luxurious Orient Express train. The victim, an American businessman named Ratchett, is found dead in his compartment, and Poirot must unravel the complex web of clues and suspects to uncover the truth behind the murder. The story takes unexpected twists and turns, leading to a surprising and satisfying resolution.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Mystery, Crime Fiction✅ 215 pages ✅ summary - ""Murder on the Orient Express"" follows the famous detective Hercule Poirot as he investigates a murder on the luxurious Orient Express train. The victim, an American businessman named Ratchett, is found dead in his compartment, and Poirot must unravel the complex web of clues and suspects to uncover the truth behind the murder. The story takes unexpected twists and turns, leading to a surprising and satisfying resolution.","https://www.bookowlsbd.com/products/copy-of-the-miracle-of-the-qur-an-by-abu-ammaar-yasir-qadhi"
101,"Influence: The Psychology of Persuasion
Book","Robert Cialdini","Fiction, Psychology","231–318",274.5,231,318,326," ""Influence: Science and Practice"" is a non-fiction book by Robert Cialdini that explores the psychology of persuasion and the factors that influence human behavior. Cialdini draws on research and real-world examples to explain the principles of influence and how they can be applied in various situations. The book delves into topics like reciprocity, commitment and consistency, social proof, authority, liking, and scarcity. It provides valuable insights into the art of persuasion, making it an essential read for those interested in understanding the science behind why people say ""yes"" and how these principles can be used in both personal and professional contexts.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Psychology, Social Psychology, Non-Fiction.✅ 326 pages ✅ summary - ""Influence: Science and Practice"" is a non-fiction book by Robert Cialdini that explores the psychology of persuasion and the factors that influence human behavior. Cialdini draws on research and real-world examples to explain the principles of influence and how they can be applied in various situations. The book delves into topics like reciprocity, commitment and consistency, social proof, authority, liking, and scarcity. It provides valuable insights into the art of persuasion, making it an essential read for those interested in understanding the science behind why people say ""yes"" and how these principles can be used in both personal and professional contexts.","https://www.bookowlsbd.com/products/influence-the-psychology-of-persuasion-book-by-robert-cialdini-premium-copy-price-in-bangladesh"
102,"Steal Like an Artist","Austin Kleon","Self Help","196–248",222,196,248,137," ""Steal Like an Artist"" by Austin Kleon is a creative guidebook that encourages readers to embrace their artistic side and unlock their creative potential. Kleon offers unconventional advice and inspiring insights on how to tap into creativity, find inspiration in the world around us, and overcome creative blocks. The book emphasizes the idea that all artists borrow, transform, and remix ideas to create something new. Through a blend of practical tips, anecdotes, and illustrations, Kleon inspires readers to explore their creativity, take risks, and share their unique voice with the world.""","✅  Premium Off-White Cream Pages ✅ Stitched Binding ✅ Matte Cover ✅ Local Premium Copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Self help✅ 137 pages ✅ summary - ""Steal Like an Artist"" by Austin Kleon is a creative guidebook that encourages readers to embrace their artistic side and unlock their creative potential. Kleon offers unconventional advice and inspiring insights on how to tap into creativity, find inspiration in the world around us, and overcome creative blocks. The book emphasizes the idea that all artists borrow, transform, and remix ideas to create something new. Through a blend of practical tips, anecdotes, and illustrations, Kleon inspires readers to explore their creativity, take risks, and share their unique voice with the world.""","https://www.bookowlsbd.com/products/steal-like-an-artist-by-austin-kleon-premium-copy-price-in-bangladesh"
103,"Intermezzo: A Novel Book","Sally Rooney","Unknown","221–231",226,221,231,344," Intermezzo follows two brothers, Ivan and Peter, in the year following the death of their father. Ivan is a 22-year-old socially awkward competitive chess player, while Peter is in his 30s and a successful human rights lawyer in Dublin. On the outside, they could not be more different, and indeed they do not get along.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 344 ✅ Summary Intermezzo follows two brothers, Ivan and Peter, in the year following the death of their father. Ivan is a 22-year-old socially awkward competitive chess player, while Peter is in his 30s and a successful human rights lawyer in Dublin. On the outside, they could not be more different, and indeed they do not get along.","https://www.bookowlsbd.com/products/intermezzo-a-novel-book-by-sally-rooney"
104,"Madonna in a Fur Coat Novel","Sabahattin Ali","Novel","177–308",242.5,177,308,136," Madonna in a Fur Coat by Sabahattin Ali is a poignant novel set in 1920s Turkey, telling the story of a young man named Raif Efendi. While living in Berlin, Raif becomes enchanted by a mysterious woman, Maria, a glamorous figure who works as a model. Their deep but brief connection profoundly impacts Raif, shaping his life in ways he struggles to understand. The novel explores themes of love, isolation, longing, and the complex dynamics of unrequited affection. Through Raif’s journey, it reflects on the human need for connection and the emotional scars left by lost love.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 136 ✅ Summary Madonna in a Fur Coat by Sabahattin Ali is a poignant novel set in 1920s Turkey, telling the story of a young man named Raif Efendi. While living in Berlin, Raif becomes enchanted by a mysterious woman, Maria, a glamorous figure who works as a model. Their deep but brief connection profoundly impacts Raif, shaping his life in ways he struggles to understand. The novel explores themes of love, isolation, longing, and the complex dynamics of unrequited affection. Through Raif’s journey, it reflects on the human need for connection and the emotional scars left by lost love.","https://www.bookowlsbd.com/products/madonna-in-a-fur-coat-novel-by-sabahattin-ali"
